編號,名稱（發音對象）,建議音檔檔名,分類
1,"AOC Alsace",AOC-Alsace-General.mp3,"AOC Alsace 基礎產區"
2,"Alsace Bergheim",AOC-Alsace-Bergheim.mp3,"補充地理標示（13個）"
3,"Alsace Blienschwiller",AOC-Alsace-Blienschwiller.mp3,"補充地理標示（13個）"
4,"Alsace Côte de Rouffach",AOC-Alsace-Côte-de-Rouffach.mp3,"補充地理標示（13個）"
5,"Alsace Coteaux du Haut Koenigsbourg",AOC-Alsace-Coteaux-du-Haut-Koenigsbourg.mp3,"補充地理標示（13個）"
6,"Alsace Côtes de Barr",AOC-Alsace-Côtes-de-Barr.mp3,"補充地理標示（13個）"
7,"Alsace Klevener de Heiligenstein",AOC-Alsace-Klevener-de-Heiligenstein.mp3,"補充地理標示（13個）"
8,"Alsace Ottrott",AOC-Alsace-Ottrott.mp3,"補充地理標示（13個）"
9,"Alsace Rodern",AOC-Alsace-Rodern.mp3,"補充地理標示（13個）"
10,"Alsace Saint-Hippolyte",AOC-Alsace-Saint-Hippolyte.mp3,"補充地理標示（13個）"
11,"Alsace Scherwiller",AOC-Alsace-Scherwiller.mp3,"補充地理標示（13個）"
12,"Alsace Val Saint Grégoire",AOC-Alsace-Val-Saint-Grégoire.mp3,"補充地理標示（13個）"
13,"Alsace Vallée Noble",AOC-Alsace-Vallée-Noble.mp3,"補充地理標示（13個）"
14,"Alsace Wolxheim",AOC-Alsace-Wolxheim.mp3,"補充地理標示（13個）"
15,"Kastelberg",AOC-Alsace-Grand-Cru-Kastelberg.mp3,"Grand Cru・片岩"
16,"Muenchberg",AOC-Alsace-Grand-Cru-Muenchberg.mp3,"Grand Cru・火山沉積岩"
17,"Rangen",AOC-Alsace-Grand-Cru-Rangen.mp3,"Grand Cru・火山沉積岩"
18,"Kessler",AOC-Alsace-Grand-Cru-Kessler.mp3,"Grand Cru・砂岩"
19,"Kitterlé",AOC-Alsace-Grand-Cru-Kitterle.mp3,"Grand Cru・砂岩"
20,"Wiebelsberg",AOC-Alsace-Grand-Cru-Wiebelsberg.mp3,"Grand Cru・砂岩"
21,"Brand",AOC-Alsace-Grand-Cru-Brand.mp3,"Grand Cru・花崗岩"
22,"Frankstein",AOC-Alsace-Grand-Cru-Frankstein.mp3,"Grand Cru・花崗岩"
23,"Gloeckelberg",AOC-Alsace-Grand-Cru-Gloeckelberg.mp3,"Grand Cru・花崗岩"
24,"Praelatenberg",AOC-Alsace-Grand-Cru-Praelatenberg.mp3,"Grand Cru・花崗岩"
25,"Schlossberg",AOC-Alsace-Grand-Cru-Schlossberg.mp3,"Grand Cru・花崗岩"
26,"Sommerberg",AOC-Alsace-Grand-Cru-Sommerberg.mp3,"Grand Cru・花崗岩"
27,"Wineck-Schlossberg",AOC-Alsace-Grand-Cru-Wineck-Schlossberg.mp3,"Grand Cru・花崗岩"
28,"Winzenberg",AOC-Alsace-Grand-Cru-Winzenberg.mp3,"Grand Cru・花崗岩"
29,"Bruderthal",AOC-Alsace-Grand-Cru-Bruderthal.mp3,"Grand Cru・石灰岩"
30,"Rosacker",AOC-Alsace-Grand-Cru-Rosacker.mp3,"Grand Cru・石灰岩"
31,"Steinert",AOC-Alsace-Grand-Cru-Steinert.mp3,"Grand Cru・石灰岩"
32,"Steinklotz",AOC-Alsace-Grand-Cru-Steinklotz.mp3,"Grand Cru・石灰岩"
33,"Geisberg",AOC-Alsace-Grand-Cru-Geisberg.mp3,"Grand Cru・灰砂岩"
34,"Pfingstberg",AOC-Alsace-Grand-Cru-Pfingstberg.mp3,"Grand Cru・灰砂岩"
35,"Zinnkoepflé",AOC-Alsace-Grand-Cru-Zinnkoepfle.mp3,"Grand Cru・灰砂岩"
36,"Furstentum",AOC-Alsace-Grand-Cru-Furstentum.mp3,"Grand Cru・泥灰砂岩"
37,"Kirchberg de Ribeauvillé",AOC-Alsace-Grand-Cru-Kirchberg-de-Ribeauville.mp3,"Grand Cru・泥灰砂岩"
38,"Ollwiller",AOC-Alsace-Grand-Cru-Ollwiller.mp3,"Grand Cru・泥灰砂岩"
39,"Pfersigberg",AOC-Alsace-Grand-Cru-Pfersigberg.mp3,"Grand Cru・泥灰砂岩"
40,"Saering",AOC-Alsace-Grand-Cru-Saering.mp3,"Grand Cru・泥灰砂岩"
41,"Spiegel",AOC-Alsace-Grand-Cru-Spiegel.mp3,"Grand Cru・泥灰砂岩"
42,"Vorbourg",AOC-Alsace-Grand-Cru-Vorbourg.mp3,"Grand Cru・泥灰砂岩"
43,"Altenberg de Bergheim",AOC-Alsace-Grand-Cru-Altenberg-de-Bergheim.mp3,"Grand Cru・泥灰石灰砂岩"
44,"Engelberg",AOC-Alsace-Grand-Cru-Engelberg.mp3,"Grand Cru・泥灰石灰砂岩"
45,"Osterberg",AOC-Alsace-Grand-Cru-Osterberg.mp3,"Grand Cru・泥灰石灰砂岩"
46,"Zotzenberg",AOC-Alsace-Grand-Cru-Zotzenberg.mp3,"Grand Cru・泥灰石灰砂岩"
47,"Altenberg de Wolxheim",AOC-Alsace-Grand-Cru-Altenberg-de-Wolxheim.mp3,"Grand Cru・泥灰石灰岩"
48,"Eichberg",AOC-Alsace-Grand-Cru-Eichberg.mp3,"Grand Cru・泥灰石灰岩"
49,"Florimont",AOC-Alsace-Grand-Cru-Florimont.mp3,"Grand Cru・泥灰石灰岩"
50,"Goldert",AOC-Alsace-Grand-Cru-Goldert.mp3,"Grand Cru・泥灰石灰岩"
51,"Hatschbourg",AOC-Alsace-Grand-Cru-Hatschbourg.mp3,"Grand Cru・泥灰石灰岩"
52,"Hengst",AOC-Alsace-Grand-Cru-Hengst.mp3,"Grand Cru・泥灰石灰岩"
53,"Kirchberg de Barr",AOC-Alsace-Grand-Cru-Kirchberg-de-Barr.mp3,"Grand Cru・泥灰石灰岩"
54,"Mambourg",AOC-Alsace-Grand-Cru-Mambourg.mp3,"Grand Cru・泥灰石灰岩"
55,"Mandelberg",AOC-Alsace-Grand-Cru-Mandelberg.mp3,"Grand Cru・泥灰石灰岩"
56,"Marckrain",AOC-Alsace-Grand-Cru-Marckrain.mp3,"Grand Cru・泥灰石灰岩"
57,"Moenchberg",AOC-Alsace-Grand-Cru-Moenchberg.mp3,"Grand Cru・泥灰石灰岩"
58,"Sonnenglanz",AOC-Alsace-Grand-Cru-Sonnenglanz.mp3,"Grand Cru・泥灰石灰岩"
59,"Steingrubler",AOC-Alsace-Grand-Cru-Steingrubler.mp3,"Grand Cru・泥灰石灰岩"
60,"Altenberg de Bergbieten",AOC-Alsace-Grand-Cru-Altenberg-de-Bergbieten.mp3,"Grand Cru・黏土泥灰岩"
