text,lang,folder,filename
"Val de Loire","fr","Loire","Val de Loire.mp3"
"Muscadet","fr","Loire","Muscadet.mp3"
"Muscadet Sèvre et Maine","fr","Loire","Muscadet Sèvre et Maine.mp3"
"Muscadet Côtes de Grandlieu","fr","Loire","Muscadet Côtes de Grandlieu.mp3"
"Muscadet Coteaux de la Loire","fr","Loire","Muscadet Coteaux de la Loire.mp3"
"Gros Plant du Pays Nantais","fr","Loire","Gros Plant du Pays Nantais.mp3"
"Coteaux d'Ancenis","fr","Loire","Coteaux d'Ancenis.mp3"
"Fiefs Vendéens","fr","Loire","Fiefs Vendéens.mp3"
"Anjou","fr","Loire","Anjou.mp3"
"Anjou Villages","fr","Loire","Anjou Villages.mp3"
"Anjou Brissac","fr","Loire","Anjou Brissac.mp3"
"Anjou-Coteaux de la Loire","fr","Loire","Anjou-Coteaux de la Loire.mp3"
"Cabernet d'Anjou","fr","Loire","Cabernet d'Anjou.mp3"
"Rosé d'Anjou","fr","Loire","Rosé d'Anjou.mp3"
"Rosé de Loire","fr","Loire","Rosé de Loire.mp3"
"Saumur","fr","Loire","Saumur.mp3"
"Saumur-Champigny","fr","Loire","Saumur-Champigny.mp3"
"Coteaux de Saumur","fr","Loire","Coteaux de Saumur.mp3"
"Savennières","fr","Loire","Savennières.mp3"
"Savennières Roche aux Moines","fr","Loire","Savennières Roche aux Moines.mp3"
"Coulée de Serrant","fr","Loire","Coulée de Serrant.mp3"
"Coteaux du Layon","fr","Loire","Coteaux du Layon.mp3"
"Coteaux du Layon Premier Cru Chaume","fr","Loire","Coteaux du Layon Premier Cru Chaume.mp3"
"Quarts de Chaume","fr","Loire","Quarts de Chaume.mp3"
"Bonnezeaux","fr","Loire","Bonnezeaux.mp3"
"Coteaux de l'Aubance","fr","Loire","Coteaux de l'Aubance.mp3"
"Crémant de Loire","fr","Loire","Crémant de Loire.mp3"
"Haut-Poitou","fr","Loire","Haut-Poitou.mp3"
"Touraine","fr","Loire","Touraine.mp3"
"Vouvray","fr","Loire","Vouvray.mp3"
"Montlouis-sur-Loire","fr","Loire","Montlouis-sur-Loire.mp3"
"Chinon","fr","Loire","Chinon.mp3"
"Bourgueil","fr","Loire","Bourgueil.mp3"
"Saint-Nicolas-de-Bourgueil","fr","Loire","Saint-Nicolas-de-Bourgueil.mp3"
"Cheverny","fr","Loire","Cheverny.mp3"
"Cour-Cheverny","fr","Loire","Cour-Cheverny.mp3"
"Valençay","fr","Loire","Valençay.mp3"
"Coteaux du Loir","fr","Loire","Coteaux du Loir.mp3"
"Jasnières","fr","Loire","Jasnières.mp3"
"Coteaux du Vendômois","fr","Loire","Coteaux du Vendômois.mp3"
"Orléans","fr","Loire","Orléans.mp3"
"Orléans-Cléry","fr","Loire","Orléans-Cléry.mp3"
"Touraine Amboise","fr","Loire","Touraine Amboise.mp3"
"Touraine Noble Joué","fr","Loire","Touraine Noble Joué.mp3"
"Touraine Azay-le-Rideau","fr","Loire","Touraine Azay-le-Rideau.mp3"
"Sancerre","fr","Loire","Sancerre.mp3"
"Pouilly-Fumé","fr","Loire","Pouilly-Fumé.mp3"
"Pouilly-sur-Loire","fr","Loire","Pouilly-sur-Loire.mp3"
