text,lang,filename
"1er-Côtes-de-Bordeaux","fr","1er-Côtes-de-Bordeaux_AOC.mp3"
"Bordeaux Haut-Benauge","fr","Bordeaux Haut-Benauge_AOC.mp3"
"Cadillac","fr","Cadillac_AOC.mp3"
"Côtes-de-Bordeaux-Cadillac","fr","Côtes-de-Bordeaux-Cadillac_AOC.mp3"
"Côtes-de-Bordeaux-Francs","fr","Côtes-de-Bordeaux-Francs_AOC.mp3"
"Cotes-de-Bordeaux-St-Macaire","fr","Cotes-de-Bordeaux-St-Macaire_AOC.mp3"
"Entre-Deux-Mers","fr","Entre-Deux-Mers_AOC.mp3"
"Entre-deux-Mers-Haut-Benauge","fr","Entre-deux-Mers-Haut-Benauge_AOC.mp3"
"Graves-of-Vayres","fr","Graves-of-Vayres_AOC.mp3"
"Loupiac","fr","Loupiac_AOC.mp3"
"Sainte-Croix-du-Mont","fr","Sainte-Croix-du-Mont_AOC.mp3"
"St-Foy-Bordeaux","fr","St-Foy-Bordeaux_AOC.mp3"
"Graves","fr","Graves_AOC.mp3"
"Graves-Superieures","fr","Graves-Superieures_AOC.mp3"
"Pessac-Leognan","fr","Pessac-Leognan_AOC.mp3"
"Haut-Medoc","fr","Haut-Medoc_AOC.mp3"
"Listrac-Medoc","fr","Listrac-Medoc_AOC.mp3"
"Margaux","fr","Margaux_AOC.mp3"
"Medoc","fr","Medoc_AOC.mp3"
"Moulis-en-Medoc","fr","Moulis-en-Medoc_AOC.mp3"
"Pauillac","fr","Pauillac_AOC.mp3"
"St-Estephe","fr","St-Estephe_AOC.mp3"
"St-Julien","fr","St-Julien_AOC.mp3"
"Example_Region_GI","fr","Example_Region_GI.mp3"
"Bordeaux","fr","Bordeaux_AOC.mp3"
"Bordeaux-Superior","fr","Bordeaux-Superior_AOC.mp3"
"Cotes-de-Bordeaux","fr","Cotes-de-Bordeaux_AOC.mp3"
"Cremant-de-Bordeaux","fr","Cremant-de-Bordeaux_AOC.mp3"
"Blaye","fr","Blaye_AOC.mp3"
"Côtes de Blaye","fr","Côtes de Blaye_AOC.mp3"
"Côtes-de-Bordeaux","fr","Côtes-de-Bordeaux_AOC.mp3"
"Côtes-de-Bordeaux-Blaye","fr","Côtes-de-Bordeaux-Blaye_AOC.mp3"
"Cotes-de-Bourg","fr","Cotes-de-Bourg_AOC.mp3"
"Canon-Fronsac","fr","Canon-Fronsac_AOC.mp3"
"Castillon-Cotes-de-Bordeaux","fr","Castillon-Cotes-de-Bordeaux_AOC.mp3"
"Fronsac","fr","Fronsac_AOC.mp3"
"Lalande-de-Pomerol","fr","Lalande-de-Pomerol_AOC.mp3"
"Lussac-St-Emilion","fr","Lussac-St-Emilion_AOC.mp3"
